time,x,y,z
0,250,250,20.0
0.1,251.83468377750467,250.78197017244906,19.85013977858939
0.2,253.66936755500933,251.56394034489813,19.70027955717878
0.30000000000000004,255.504051332514,252.3459105173472,19.550419335768172
0.4,257.33873511001866,253.12788068979626,19.400559114357563
0.5,259.1734188875233,253.90985086224532,19.250698892946954
0.6,261.008102665028,254.69182103469439,19.100838671536344
0.7,262.84278644253266,255.47379120714345,18.950978450125735
0.7999999999999999,264.6774702200373,256.2557613795925,18.801118228715126
0.8999999999999999,266.512153997542,257.0377315520416,18.651258007304516
0.9999999999999999,268.34683777504665,257.81970172449064,18.501397785893907
1.0999999999999999,270.1815215525513,258.6016718969397,18.351537564483298
1.2,272.016205330056,259.38364206938877,18.20167734307269
1.3,273.85088910756065,260.16561224183783,18.05181712166208
1.4000000000000001,275.6855728850653,260.9475824142869,17.90195690025147
1.5000000000000002,277.52025666257,261.72955258673596,17.75209667884086
1.6000000000000003,279.35494044007464,262.511522759185,17.60223645743025
1.7000000000000004,281.1896242175793,263.2934929316341,17.452376236019642
1.8000000000000005,283.024307995084,264.07546310408316,17.302516014609033
1.9000000000000006,284.85899177258864,264.8574332765322,17.152655793198424
2.0000000000000004,286.6936755500933,265.6394034489813,17.002795571787814
2.1000000000000005,288.52835932759797,266.42137362143035,16.852935350377205
2.2000000000000006,290.36304310510263,267.2033437938794,16.703075128966596
2.3000000000000007,292.1977268826073,267.9853139663285,16.553214907555986
2.400000000000001,294.03241066011196,268.76728413877754,16.403354686145377
2.500000000000001,295.86709443761663,269.5492543112266,16.253494464734768
2.600000000000001,297.7017782151213,270.33122448367567,16.10363424332416
2.700000000000001,299.53646199262596,271.11319465612473,15.95377402191355
2.800000000000001,301.3711457701306,271.8951648285738,15.80391380050294
2.9000000000000012,303.2058295476353,272.67713500102286,15.65405357909233
3.0000000000000013,305.04051332513995,273.4591051734719,15.504193357681721
3.1000000000000014,306.8751971026446,274.241075345921,15.354333136271112
3.2000000000000015,308.7098808801493,275.02304551837005,15.204472914860503
3.3000000000000016,310.54456465765395,275.8050156908191,15.054612693449894
3.4000000000000017,312.3792484351586,276.5869858632682,14.904752472039284
3.5000000000000018,314.2139322126633,277.36895603571725,14.754892250628675
3.600000000000002,316.04861599016795,278.1509262081663,14.605032029218066
3.700000000000002,317.8832997676726,278.9328963806154,14.455171807807456
3.800000000000002,319.7179835451773,279.71486655306444,14.305311586396847
3.900000000000002,321.55266732268194,280.4968367255135,14.155451364986238
4.000000000000002,323.3873511001866,281.27880689796257,14.005591143575629
4.100000000000001,325.22203487769127,282.06077707041163,13.85573092216502
4.200000000000001,327.05671865519594,282.8427472428607,13.70587070075441
4.300000000000001,328.8914024327006,283.62471741530976,13.5560104793438
4.4,330.72608621020527,284.4066875877588,13.406150257933191
4.5,332.56076998770993,285.1886577602079,13.256290036522582
4.6,334.3954537652146,285.97062793265695,13.106429815111973
4.699999999999999,336.23013754271926,286.752598105106,12.956569593701364
4.799999999999999,338.0648213202239,287.5345682775551,12.806709372290754
4.899999999999999,339.8995050977286,288.31653845000415,12.656849150880145
4.999999999999998,341.73418887523326,289.0985086224532,12.506988929469536
5.099999999999998,343.5688726527379,289.8804787949023,12.357128708058926
5.1999999999999975,345.4035564302426,290.66244896735134,12.207268486648317
5.299999999999997,347.23824020774725,291.4444191398004,12.057408265237708
5.399999999999997,349.0729239852519,292.22638931224947,11.907548043827099
5.4999999999999964,350.9076077627566,293.00835948469853,11.75768782241649
5.599999999999996,352.74229154026125,293.7903296571476,11.60782760100588
5.699999999999996,354.5769753177659,294.57229982959666,11.45796737959527
5.799999999999995,356.4116590952706,295.3542700020457,11.308107158184662
5.899999999999995,358.24634287277524,296.1362401744948,11.158246936774052
5.999999999999995,360.0810266502799,296.91821034694385,11.008386715363443
6.099999999999994,361.9157104277846,297.7001805193929,10.858526493952834
6.199999999999994,363.75039420528924,298.482150691842,10.708666272542224
6.299999999999994,365.5850779827939,299.26412086429104,10.558806051131615
6.399999999999993,367.41976176029857,300.0460910367401,10.408945829721006
6.499999999999993,369.25444553780324,300.8280612091892,10.259085608310397
6.5999999999999925,371.0891293153079,301.61003138163824,10.109225386899787
6.699999999999992,372.92381309281257,302.3920015540873,9.959365165489178
6.799999999999992,374.75849687031723,303.17397172653637,9.809504944078569
6.8999999999999915,376.5931806478219,303.95594189898543,9.65964472266796
6.999999999999991,378.42786442532656,304.7379120714345,9.50978450125735
7.099999999999991,380.2625482028312,305.51988224388356,9.35992427984674
7.19999999999999,382.0972319803359,306.3018524163326,9.210064058436132
7.29999999999999,383.93191575784056,307.0838225887817,9.060203837025522
7.39999999999999,385.7665995353452,307.86579276123075,8.910343615614913
7.499999999999989,387.6012833128499,308.6477629336798,8.760483394204304
7.599999999999989,389.43596709035455,309.4297331061289,8.610623172793694
7.699999999999989,391.2706508678592,310.21170327857794,8.460762951383085
7.799999999999988,393.1053346453639,310.993673451027,8.310902729972476
7.899999999999988,394.94001842286855,311.77564362347607,8.161042508561867
7.999999999999988,396.7747022003732,312.55761379592514,8.011182287151257
8.099999999999987,398.6093859778779,313.3395839683742,7.861322065740648
8.199999999999987,400.44406975538254,314.12155414082326,7.711461844330039
8.299999999999986,402.2787535328872,314.9035243132723,7.561601622919429
8.399999999999986,404.1134373103919,315.6854944857214,7.41174140150882
8.499999999999986,405.94812108789654,316.46746465817046,7.261881180098211
8.599999999999985,407.7828048654012,317.2494348306195,7.1120209586876015
8.699999999999985,409.61748864290587,318.0314050030686,6.962160737276992
