timestamp,energy_level
0,20000.0
0,19999.0
1,19998.0
2,19997.0
3,19996.0
4,19995.0
5,19994.0
6,19993.0
7,19992.0
8,19991.0
9,19990.0
10,19989.0
11,19988.0
12,19987.0
13,19986.0
14,19985.0
15,19984.0
16,19983.0
17,19982.0
18,19981.0
19,19980.0
20,19979.0
21,19978.0
22,19977.0
23,19976.0
24,19975.0
25,19974.0
26,19973.0
27,19972.0
28,19971.0
29,19970.0
30,19969.0
31,19968.0
32,19967.0
33,19966.0
34,19965.0
35,19964.0
36,19963.0
37,19962.0
38,19961.0
39,19960.0
40,19959.0
41,19958.0
42,19957.0
43,19956.0
44,19955.0
45,19954.0
46,19953.0
47,19952.0
48,19951.0
49,19950.0
50,19949.0
51,19948.0
52,19947.0
53,19946.0
54,19945.0
55,19944.0
56,19943.0
57,19942.0
58,19941.0
59,19940.0
60,19939.0
61,19938.0
62,19937.0
63,19936.0
64,19935.0
65,19934.0
66,19933.0
67,19932.0
68,19931.0
69,19930.0
70,19929.0
71,19928.0
72,19927.0
73,19926.0
74,19925.0
75,19924.0
76,19923.0
77,19922.0
78,19921.0
79,19920.0
80,19919.0
81,19918.0
82,19917.0
83,19916.0
84,19915.0
85,19914.0
86,19913.0
87,19912.0
88,19911.0
89,19910.0
90,19909.0
91,19908.0
92,19907.0
93,19906.0
94,19905.0
95,19904.0
96,19903.0
97,19902.0
98,19901.0
99,19900.0
100,19899.0
101,19898.0
102,19897.0
103,19896.0
104,19895.0
105,19894.0
106,19893.0
107,19892.0
108,19891.0
109,19890.0
110,19889.0
111,19888.0
112,19887.0
113,19886.0
114,19885.0
115,19884.0
116,19883.0
117,19882.0
118,19881.0
119,19880.0
120,19879.0
121,19878.0
122,19877.0
123,19876.0
124,19875.0
125,19874.0
126,19873.0
127,19872.0
128,19871.0
129,19870.0
130,19869.0
131,19868.0
132,19867.0
133,19866.0
134,19865.0
135,19864.0
136,19863.0
137,19862.0
138,19861.0
139,19860.0
140,19859.0
141,19858.0
142,19857.0
143,19856.0
144,19855.0
145,19854.0
146,19853.0
147,19852.0
148,19851.0
149,19850.0
150,19849.0
151,19848.0
152,19847.0
153,19846.0
154,19845.0
155,19844.0
156,19843.0
157,19842.0
158,19841.0
159,19840.0
160,19839.0
161,19838.0
162,19837.0
163,19836.0
164,19835.0
165,19834.0
166,19833.0
167,19832.0
168,19831.0
169,19830.0
170,19829.0
171,19828.0
172,19827.0
173,19826.0
174,19825.0
175,19824.0
176,19823.0
177,19822.0
178,19821.0
179,19820.0
180,19819.0
181,19818.0
182,19817.0
183,19816.0
184,19815.0
185,19814.0
186,19813.0
187,19812.0
188,19811.0
189,19810.0
190,19809.0
191,19808.0
192,19807.0
193,19806.0
194,19805.0
195,19804.0
196,19803.0
197,19802.0
198,19801.0
199,19800.0
200,19799.0
201,19798.0
202,19797.0
203,19796.0
204,19795.0
205,19794.0
206,19793.0
207,19792.0
208,19791.0
209,19790.0
210,19789.0
211,19788.0
212,19787.0
213,19786.0
214,19785.0
215,19784.0
216,19783.0
217,19782.0
218,19781.0
219,19780.0
220,19779.0
221,19778.0
222,19777.0
223,19776.0
224,19775.0
225,19774.0
226,19773.0
227,19772.0
228,19771.0
229,19770.0
230,19769.0
231,19768.0
232,19767.0
233,19766.0
234,19765.0
235,19764.0
236,19763.0
237,19762.0
238,19761.0
239,19760.0
240,19759.0
241,19758.0
242,19757.0
243,19756.0
244,19755.0
245,19754.0
246,19753.0
247,19752.0
248,19751.0
249,19750.0
250,19749.0
251,19748.0
252,19747.0
253,19746.0
254,19745.0
255,19744.0
256,19743.0
257,19742.0
258,19741.0
259,19740.0
260,19739.0
261,19738.0
262,19737.0
263,19736.0
264,19735.0
265,19734.0
266,19733.0
267,19732.0
268,19731.0
269,19730.0
270,19729.0
271,19728.0
272,19727.0
273,19726.0
274,19725.0
275,19724.0
276,19723.0
277,19722.0
278,19721.0
279,19720.0
280,19719.0
281,19718.0
282,19717.0
283,19716.0
284,19715.0
285,19714.0
286,19713.0
287,19712.0
288,19711.0
289,19710.0
290,19709.0
291,19708.0
292,19707.0
293,19706.0
294,19705.0
295,19704.0
296,19703.0
297,19702.0
298,19701.0
299,19700.0
300,19699.0
301,19698.0
302,19697.0
303,19696.0
304,19695.0
305,19694.0
306,19693.0
307,19692.0
308,19691.0
309,19690.0
310,19689.0
311,19688.0
312,19687.0
313,19686.0
314,19685.0
315,19684.0
316,19683.0
317,19682.0
318,19681.0
319,19680.0
320,19679.0
321,19678.0
322,19677.0
323,19676.0
324,19675.0
325,19674.0
326,19673.0
327,19672.0
328,19671.0
329,19670.0
330,19669.0
331,19668.0
332,19667.0
333,19666.0
334,19665.0
335,19664.0
336,19663.0
337,19662.0
338,19661.0
339,19660.0
340,19659.0
341,19658.0
342,19657.0
343,19656.0
344,19655.0
345,19654.0
346,19653.0
347,19652.0
348,19651.0
349,19650.0
350,19649.0
351,19648.0
352,19647.0
353,19646.0
354,19645.0
355,19644.0
356,19643.0
357,19642.0
